tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
361,2/1/2016 0:31,2/1/2016 0:37,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24393,Subscriber,1975,1
297,2/1/2016 1:55,2/1/2016 2:00,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24394,Subscriber,1985,2
1155,2/1/2016 2:40,2/1/2016 2:59,3183,Exchange Place,40.7162469,-74.0334588,3210,Pershing Field,40.74267714,-74.05178863,24676,Subscriber,1976,1
1769,2/1/2016 5:11,2/1/2016 5:40,3214,Essex Light Rail,40.7127742,-74.0364857,3203,Hamilton Park,40.72759597,-74.04424731,24700,Subscriber,1974,2
935,2/1/2016 5:48,2/1/2016 6:03,3203,Hamilton Park,40.72759597,-74.04424731,3214,Essex Light Rail,40.7127742,-74.0364857,24639,Subscriber,1974,2
569,2/1/2016 5:52,2/1/2016 6:01,3212,Christ Hospital,40.73478582,-74.05044364,3185,City Hall,40.7177325,-74.043845,24498,Subscriber,1984,2
293,2/1/2016 6:01,2/1/2016 6:06,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,24621,Subscriber,1974,1
252,2/1/2016 6:01,2/1/2016 6:06,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24560,Subscriber,1991,1
256,2/1/2016 6:20,2/1/2016 6:25,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24386,Subscriber,1989,2
94,2/1/2016 6:36,2/1/2016 6:38,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,24702,Subscriber,1990,2
126,2/1/2016 6:37,2/1/2016 6:39,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24438,Subscriber,1983,1
192,2/1/2016 6:38,2/1/2016 6:41,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24590,Subscriber,1987,2
165,2/1/2016 6:47,2/1/2016 6:50,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24672,Subscriber,1983,1
193,2/1/2016 6:56,2/1/2016 6:59,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24444,Subscriber,1978,2
389,2/1/2016 6:59,2/1/2016 7:05,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24484,Subscriber,1977,1
61,2/1/2016 7:02,2/1/2016 7:03,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24522,Subscriber,1977,1
619,2/1/2016 7:02,2/1/2016 7:13,3192,Liberty Light Rail,40.7112423,-74.0557013,3211,Newark Ave,40.72152515,-74.04630454,24646,Subscriber,1977,1
517,2/1/2016 7:07,2/1/2016 7:15,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24449,Subscriber,1979,1
175,2/1/2016 7:09,2/1/2016 7:12,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24417,Subscriber,1989,1
255,2/1/2016 7:12,2/1/2016 7:16,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24464,Subscriber,1988,2
101,2/1/2016 7:14,2/1/2016 7:16,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24664,Subscriber,1988,1
246,2/1/2016 7:17,2/1/2016 7:21,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24393,Subscriber,1969,1
128,2/1/2016 7:17,2/1/2016 7:20,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24636,Subscriber,1968,1
126,2/1/2016 7:18,2/1/2016 7:20,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24639,Subscriber,1984,1
143,2/1/2016 7:18,2/1/2016 7:21,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24669,Subscriber,1965,1
264,2/1/2016 7:19,2/1/2016 7:23,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24621,Subscriber,1979,1
210,2/1/2016 7:19,2/1/2016 7:23,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24425,Subscriber,1980,1
279,2/1/2016 7:22,2/1/2016 7:27,3205,JC Medical Center,40.71653978,-74.04963791,3184,Paulus Hook,40.7141454,-74.0335519,24616,Subscriber,1977,1
190,2/1/2016 7:23,2/1/2016 7:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24644,Subscriber,1971,1
519,2/1/2016 7:38,2/1/2016 7:46,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24645,Subscriber,1956,1
235,2/1/2016 7:39,2/1/2016 7:43,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24597,Subscriber,1989,1
154,2/1/2016 7:41,2/1/2016 7:43,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24624,Subscriber,1979,1
334,2/1/2016 7:42,2/1/2016 7:47,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24622,Subscriber,1982,1
195,2/1/2016 7:44,2/1/2016 7:47,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24631,Subscriber,1972,2
339,2/1/2016 7:44,2/1/2016 7:50,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24592,Subscriber,1979,1
717,2/1/2016 7:44,2/1/2016 7:56,3196,Riverview Park,40.7443187,-74.0439909,3195,Sip Ave,40.73074263,-74.06378388,24447,Subscriber,1985,1
583,2/1/2016 7:45,2/1/2016 7:54,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24667,Subscriber,1991,1
210,2/1/2016 7:47,2/1/2016 7:50,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24464,Subscriber,1984,2
590,2/1/2016 7:47,2/1/2016 7:57,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24389,Subscriber,1974,1
195,2/1/2016 7:48,2/1/2016 7:51,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24594,Subscriber,1976,1
132,2/1/2016 7:49,2/1/2016 7:51,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24636,Subscriber,1981,2
1011,2/1/2016 7:50,2/1/2016 8:07,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24723,Subscriber,1977,1
214,2/1/2016 7:50,2/1/2016 7:53,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24429,Subscriber,1978,1
260,2/1/2016 7:54,2/1/2016 7:59,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24537,Subscriber,1970,1
309,2/1/2016 7:55,2/1/2016 8:00,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24520,Subscriber,1971,2
530,2/1/2016 7:56,2/1/2016 8:05,3211,Newark Ave,40.72152515,-74.04630454,3184,Paulus Hook,40.7141454,-74.0335519,24530,Subscriber,1976,1
236,2/1/2016 7:59,2/1/2016 8:03,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24445,Subscriber,1984,1
211,2/1/2016 7:59,2/1/2016 8:03,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24394,Subscriber,1977,1
314,2/1/2016 8:00,2/1/2016 8:05,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24481,Subscriber,1980,1
347,2/1/2016 8:00,2/1/2016 8:06,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24378,Subscriber,1981,2
437,2/1/2016 8:02,2/1/2016 8:09,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24591,Subscriber,1990,2
600,2/1/2016 8:02,2/1/2016 8:12,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,24724,Subscriber,1990,1
289,2/1/2016 8:03,2/1/2016 8:08,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24456,Subscriber,1962,1
102,2/1/2016 8:03,2/1/2016 8:05,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24666,Subscriber,1980,1
242,2/1/2016 8:06,2/1/2016 8:10,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24685,Subscriber,1984,1
256,2/1/2016 8:06,2/1/2016 8:10,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24379,Subscriber,1975,1
285,2/1/2016 8:08,2/1/2016 8:12,3212,Christ Hospital,40.73478582,-74.05044364,3206,Hilltop,40.7311689,-74.0575736,24542,Subscriber,1990,1
481,2/1/2016 8:09,2/1/2016 8:17,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24543,Subscriber,1984,2
1278,2/1/2016 8:09,2/1/2016 8:31,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24390,Subscriber,1971,2
221,2/1/2016 8:10,2/1/2016 8:13,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24476,Subscriber,1987,1
191,2/1/2016 8:10,2/1/2016 8:13,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24661,Subscriber,1987,2
821,2/1/2016 8:10,2/1/2016 8:24,3207,Oakland Ave,40.7376037,-74.0524783,3183,Exchange Place,40.7162469,-74.0334588,24641,Subscriber,1989,1
259,2/1/2016 8:10,2/1/2016 8:15,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24392,Subscriber,1981,1
496,2/1/2016 8:11,2/1/2016 8:19,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24481,Subscriber,1974,1
